Title,Description,Status,Priority,Category,Progress,Website ID,Deadline,Public,Tags,Resources,Reflection,Difficulty
Dwayne Johnson treffen,Dwayne Johnson treffen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Personen treffen,0,01290843-3ac6-41eb-b947-406357dde67c,2030-12-31,true,2030,,,
Das Kliemannsland besuchen,Das Kliemannsland besuchen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,medium,Reisen & Abenteuer,0,7104766b-9971-4832-af26-6738fbe40341,2026-12-31,true,"2026, travel",,,
Fynn Kliemann treffen,Fynn Kliemann treffen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Personen treffen,0,ccedb15e-1d13-4acf-9552-05dc0d15d2d2,2030-12-31,true,2030,,,
Maximilian Knabe treffen,Maximilian Knabe treffen - Detaillierte Planung und Umsetzung als Teil der Bergkabuff-Journey.,planned,low,Personen treffen,0,b1732326-b044-449a-ae8e-fa3de86304a0,2030-12-31,true,2030,,,
Eine Website erstellen und veröffentlichen,"Vollständige Entwicklung einer interaktiven Website mit React, modernem Design und Hosting. Das Bergkabuff-Projekt als digitale Heimat.",in_progress,high,Tech-Projekte,85,a404b478-b7fd-4c15-8594-67ddb6eac5b7,2025-12-31,true,"2025, tech, priority, website",,,
Einen Youtube Kanal starten und ein gut editiertes Video hochladen,Professioneller YouTube-Kanal mit regelmäßigen Videos über die Bucketlist-Reise. Erstes Video soll mindestens 1000 Aufrufe erreichen.,in_progress,high,Kreative Projekte,60,75edd047-a19d-40d6-9047-dd319be91f69,2025-12-31,true,"2025, creative, priority, youtube",,,
Eine eigene App erstellen und veröffentlichen,Mobile App für iOS und Android mit React Native. Soll die Website ergänzen und unterwegs Bucketlist-Tracking ermöglichen.,planned,high,Tech-Projekte,0,ac1410e2-1956-48bf-b8e4-7b7699f66ac3,2025-12-31,true,"2025, tech, priority",,,
Ein Gaming-Zimmer für mich und meine Frau kreieren,"Gemütlicher Raum für gemeinsame Gaming-Sessions. Zwei Gaming-Stühle, großer Monitor, RGB-Beleuchtung und alles was dazugehört.",in_progress,high,Kreative Projekte,25,cd8b915c-e4ca-43ad-8f8c-df02e139dad6,2025-12-31,true,"2025, creative, priority",,,
Mein eigenes Körpergewicht 3x sauber beim Bankdrücken heben können,"Aktuell bei ca. 2x Körpergewicht. Systematisches Training mit Trainingsplan, Ernährungsoptimierung und Progression tracking.",in_progress,high,Persönliche Challenges,70,72b5a966-8c19-44ac-8ffb-3686d2331896,2025-12-31,true,"2025, personal, priority, fitness",,,
Japanisch lernen N3 Niveau,"Von Grundlagen bis N3-Niveau durch strukturierten Sprachkurs, Anime/Manga und Konversationspraxis. Vorbereitung für Japan-Reise.",in_progress,high,Lernen & Bildung,20,eb1e3967-e876-493e-b184-c28d8aa36f68,2026-12-31,true,"2026, learning, priority, japan",,,
